year,id,undergrad_men,undergrad_women,undergrad,graduate_men,graduate_women,graduate,total_men,total_women,total,cat,school
2012,idm_engr,1,4,5,0,0,0,1,4,5,engr,school_engr
2012,ie,0,1,1,0,0,0,0,1,1,engr,school_engr
2012,ms&e,89,38,127,269,98,367,358,136,494,inter,school_engr
2012,matsci,21,7,28,129,57,186,150,64,214,engr,school_engr
2012,me,77,30,107,398,114,512,475,144,619,engr,school_engr
2012,sccm,0,0,0,1,0,1,1,0,1,math,school_engr
2012,school_hs,1052,1351,2403,1296,979,2275,2348,2330,4678,dept,dept
2012,aaas,2,6,8,0,0,0,2,6,8,hum,school_hs
2012,africast,0,0,0,1,3,4,1,3,4,hum,school_hs
2012,amstud,9,22,31,0,0,0,9,22,31,hum,school_hs
2012,anthsci,0,0,0,1,1,2,1,1,2,socsci,school_hs
2012,anthro,5,36,41,22,44,66,27,80,107,socsci,school_hs
2012,appphys,0,0,0,103,30,133,103,30,133,physci,school_hs
2012,archlgy,3,6,9,0,0,0,3,6,9,socsci,school_hs
2012,art,0,0,0,1,5,6,1,5,6,hum,school_hs
2012,arthist,3,14,17,12,15,27,15,29,44,hum,school_hs
2012,artstudi,4,9,13,7,3,10,11,12,23,hum,school_hs
2012,asnamst,1,3,4,0,0,0,1,3,4,hum,school_hs
2012,bio,78,115,193,80,84,164,158,199,357,physci,school_hs
2012,biophys,0,0,0,19,13,32,19,13,32,physci,school_hs
2012,chem,30,24,54,147,71,218,177,95,272,physci,school_hs
2012,chs,2,0,2,0,0,0,2,0,2,hum,school_hs
2012,chinese,0,0,0,4,14,18,4,14,18,hum,school_hs
2012,classics,21,10,31,19,14,33,40,24,64,hum,school_hs
2012,comm,18,32,50,21,35,56,39,67,106,hum,school_hs
2012,complit,3,11,14,3,16,19,6,27,33,hum,school_hs
2012,complhum,0,0,0,0,1,1,0,1,1,hum,school_hs
2012,csre,8,16,24,0,0,0,8,16,24,hum,school_hs
2012,csanthro,0,0,0,3,8,11,3,8,11,hum,school_hs
2012,design,0,0,0,0,4,4,0,4,4,hum,school_hs
2012,docfilm,0,0,0,5,10,15,5,10,15,hum,school_hs
2012,dramahum,0,0,0,2,1,3,2,1,3,hum,school_hs
2012,eastasn,1,4,5,24,43,67,25,47,72,hum,school_hs
2012,econ,113,65,178,116,44,160,229,109,338,socsci,school_hs
2012,english,44,72,116,28,42,70,72,114,186,hum,school_hs
2012,femst,1,2,3,0,0,0,1,2,3,hum,school_hs
2012,filmstud,11,10,21,0,0,0,11,10,21,hum,school_hs
2012,finmath,0,0,0,32,6,38,32,6,38,math,school_hs
2012,french,3,19,22,6,7,13,9,26,35,hum,school_hs
2012,frenchital,0,0,0,1,0,1,1,0,1,hum,school_hs
2012,german,6,0,6,3,9,12,9,9,18,hum,school_hs
2012,history,52,71,123,56,45,101,108,116,224,hum,school_hs
2012,histhum,0,0,0,0,2,2,0,2,2,hum,school_hs
2012,humbio,68,261,329,0,0,0,68,261,329,inter,school_hs
2012,ilac,3,3,6,3,7,10,6,10,16,hum,school_hs
2012,ilachum,0,0,0,1,0,1,1,0,1,hum,school_hs
2012,idm_engr,1,1,2,0,0,0,1,1,2,engr,school_engr
2012,ips,0,0,0,18,24,42,18,24,42,inter,school_hs
2012,ir,50,85,135,0,0,0,50,85,135,socsci,school_hs
2012,italian,1,9,10,0,5,5,1,14,15,hum,school_hs
2012,japanese,3,2,5,5,9,14,8,11,19,hum,school_hs
2012,latinam,0,0,0,2,6,8,2,6,8,hum,school_hs
2012,linguist,8,7,15,17,21,38,25,28,53,socsci,school_hs
2012,mcs,32,21,53,0,0,0,32,21,53,math,school_hs
2012,math,60,15,75,65,10,75,125,25,150,math,school_hs
2012,mtl,0,0,0,12,12,24,12,12,24,hum,school_hs
2012,mtlhum,0,0,0,1,0,1,1,0,1,hum,school_hs
2012,music,19,17,36,41,26,67,60,43,103,hum,school_hs
2012,nativeam,2,0,2,0,0,0,2,0,2,hum,school_hs
2012,phil,15,11,26,37,13,50,52,24,76,hum,school_hs
2012,philrelig,2,1,3,0,0,0,2,1,3,hum,school_hs
2012,physics,51,10,61,141,36,177,192,46,238,physci,school_hs
2012,polisci,55,50,105,42,48,90,97,98,195,socsci,school_hs
2012,psych,44,94,138,31,45,76,75,139,214,socsci,school_hs
2012,publpol,37,29,66,12,9,21,49,38,87,socsci,school_hs
2012,religst,2,5,7,11,7,18,13,12,25,hum,school_hs
2012,relighum,0,0,0,1,0,1,1,0,1,hum,school_hs
2012,rees,0,0,0,2,3,5,2,3,5,hum,school_hs
2012,sts,88,98,186,0,0,0,88,98,186,inter,school_hs
2012,slavic,1,2,3,6,5,11,7,7,14,hum,school_hs
2012,soc,12,19,31,28,53,81,40,72,112,socsci,school_hs
2012,spanport,0,1,1,7,5,12,7,6,13,hum,school_hs
2012,stats,0,0,0,85,46,131,85,46,131,math,school_hs
2012,symsys,65,35,100,5,3,8,70,38,108,inter,school_hs
2012,drama,5,6,11,7,16,23,12,22,34,hum,school_hs
2012,urbanst,10,22,32,0,0,0,10,22,32,socsci,school_hs
2012,school_law,0,0,0,374,286,660,374,286,660,dept,dept
2012,law,0,0,0,360,284,644,360,284,644,prof,school_law
2012,lawbiz,0,0,0,14,2,16,14,2,16,prof,school_law
2012,school_med,0,0,0,455,493,948,455,493,948,dept,dept
2012,bioc,0,0,0,28,17,45,28,17,45,prof,school_med
2012,biomedin,0,0,0,22,17,39,22,17,39,prof,school_med
2012,cbio,0,0,0,15,37,52,15,37,52,prof,school_med
2012,csb,0,0,0,22,15,37,22,15,37,prof,school_med
2012,dbio,0,0,0,13,13,26,13,13,26,prof,school_med
2012,epidem,0,0,0,6,19,25,6,19,25,prof,school_med
2012,gene,0,0,0,27,36,63,27,36,63,prof,school_med
2012,hrp,0,0,0,4,7,11,4,7,11,prof,school_med
2012,humgene,0,0,0,2,12,14,2,12,14,prof,school_med
2012,immunol,0,0,0,23,21,44,23,21,44,prof,school_med
2012,med,0,0,0,232,222,454,232,222,454,prof,school_med
2012,mi,0,0,0,9,28,37,9,28,37,prof,school_med
2012,nepr,0,0,0,34,39,73,34,39,73,prof,school_med
2012,mcp,0,0,0,6,5,11,6,5,11,prof,school_med
2012,stemrem,0,0,0,5,3,8,5,3,8,prof,school_med
2012,sbio,0,0,0,7,2,9,7,2,9,prof,school_med
2011,undeclared,1862,1667,3529,0,0,0,1862,1667,3529,aggr,misc
2011,total,3704,3437,7141,5691,3274,8965,9395,6711,16106,aggr,total
2011,school_biz,0,0,0,626,322,948,626,322,948,dept,dept
2011,business,0,0,0,570,311,881,570,311,881,prof,school_biz
2011,management,0,0,0,56,11,67,56,11,67,prof,school_biz
2011,school_es,43,66,109,221,151,372,264,217,481,dept,dept
2011,eees,0,0,0,2,2,4,2,2,4,physci,school_es
2011,earthsys,33,59,92,16,21,37,49,80,129,inter,school_es
2011,ere,5,1,6,41,11,52,46,12,58,engr,school_es
2011,eess,0,0,0,22,19,41,22,19,41,physci,school_es
2011,envres,0,0,0,39,24,63,39,24,63,inter,school_es
2011,ges,4,5,9,35,38,73,39,43,82,physci,school_es
2011,geophys,1,1,2,41,27,68,42,28,70,physci,school_es
2011,petrolengr,0,0,0,25,9,34,25,9,34,engr,school_es
2011,school_educ,0,0,0,115,266,381,115,266,381,dept,dept
2011,educ,0,0,0,115,266,381,115,266,381,hum,school_educ
2011,school_engr,707,306,1013,2623,855,3478,3330,1161,4491,dept,dept
2011,aa,0,0,0,159,31,190,159,31,190,engr,school_engr
2011,bioe,0,0,0,62,40,102,62,40,102,engr,school_engr
2011,chemeng,36,23,59,76,44,120,112,67,179,engr,school_engr
2011,cee,0,0,0,257,161,418,257,161,418,engr,school_engr
2011,ce,25,13,38,0,0,0,25,13,38,engr,school_engr
2011,cme,0,0,0,95,18,113,95,18,113,engr,school_engr
2011,cs,227,60,287,403,68,471,630,128,758,engr,school_engr
2011,ee,69,19,88,709,188,897,778,207,985,engr,school_engr
2011,genengr,134,93,227,16,4,20,150,97,247,engr,school_engr
2011,enve,8,12,20,0,0,0,8,12,20,engr,school_engr
2011,idm_engr,2,3,5,0,0,0,2,3,5,engr,school_engr
